Released_Year,Certificate,Runtime,Genre,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,writer,country_origin,filming_location,production_company,language,oscar
1957.0,4,96,143,88.0,190,429,273,74,669,164939.0,,700,172,646,690,232,
2011.0,4,98,137,52.0,507,6,127,520,559,77071.0,71177.0,80,112,433,381,6,0.0
2009.0,4,144,172,,40,2,496,437,197,28749.0,10950.0,566,45,152,41,198,0.0
1954.0,4,105,136,75.0,22,498,270,700,438,158335.0,12562.0,700,172,646,690,232,
2004.0,0,126,38,75.0,522,218,671,592,618,96703.0,16756372.0,700,172,646,690,232,
1988.0,4,132,36,72.0,245,93,11,91,731,793164.0,83008852.0,545,112,249,535,63,4.0
1995.0,4,128,12,58.0,245,93,364,748,297,364420.0,100012499.0,700,172,646,690,232,
2008.0,4,107,179,,112,342,239,551,397,102742.0,,700,172,646,690,232,
2020.0,1,101,105,,345,579,697,736,793,111478.0,,579,45,489,218,198,0.0
2001.0,4,183,105,,131,0,688,9,711,66803.0,300000.0,364,45,267,189,199,0.0
1995.0,0,189,172,,7,556,423,23,255,63516.0,,10,45,284,683,198,0.0
1989.0,3,111,22,82.0,249,649,150,741,513,45624.0,,700,172,646,690,232,
1971.0,4,102,24,90.0,115,135,37,292,733,143292.0,35900000.0,233,112,297,492,6,0.0
2009.0,4,112,35,81.0,351,560,154,351,659,638202.0,115646235.0,453,76,326,520,122,4.0
2012.0,4,165,184,81.0,391,284,129,488,498,1357682.0,162805434.0,700,172,646,690,232,0.0
1995.0,1,99,95,71.0,269,381,550,803,148,26429.0,,700,172,646,690,232,
1989.0,3,120,100,93.0,459,149,601,722,739,89429.0,27545445.0,592,112,570,4,93,2.0
1965.0,4,197,175,69.0,101,467,417,267,752,69903.0,111722000.0,67,60,414,323,135,0.0
1975.0,0,125,84,86.0,456,9,387,647,834,235652.0,50000000.0,191,112,19,626,6,0.0
2003.0,3,178,122,60.0,285,462,614,478,314,137963.0,1530386.0,383,17,609,686,28,0.0
1988.0,3,142,95,,123,161,79,504,337,26402.0,280015.0,700,172,646,690,232,
1997.0,4,127,84,76.0,340,9,402,567,112,279318.0,41909762.0,352,112,333,305,86,1.0
2001.0,3,113,169,88.0,406,276,358,538,333,740086.0,1480006.0,518,112,27,379,6,0.0
1944.0,4,107,124,95.0,49,216,65,208,119,143525.0,5720000.0,700,172,646,690,232,
1986.0,3,107,95,75.0,227,606,394,711,665,47834.0,1436000.0,305,166,372,264,80,0.0
1964.0,4,95,93,97.0,463,481,256,788,491,450474.0,275902.0,598,106,81,472,134,4.0
2013.0,0,160,132,,222,452,528,61,49,30722.0,,700,172,646,690,232,
2015.0,1,163,129,,358,7,719,798,719,70367.0,739478.0,700,172,646,690,232,
2011.0,4,100,122,78.0,355,533,99,101,16,571571.0,35061555.0,571,112,356,374,6,0.0
2011.0,4,100,122,78.0,355,533,99,101,16,571571.0,35061555.0,240,112,474,196,149,1.0
2011.0,4,100,122,78.0,355,533,99,101,16,571571.0,35061555.0,292,112,646,317,6,0.0
2020.0,4,117,100,81.0,493,399,762,515,521,33931.0,,700,172,646,690,232,
1955.0,4,118,132,97.0,265,299,100,705,374,28810.0,57226.0,700,172,646,690,232,
1933.0,4,69,117,93.0,290,242,279,125,932,55581.0,,700,172,646,690,232,
2017.0,1,106,26,94.0,83,211,67,532,866,555092.0,188373161.0,102,105,618,482,34,0.0
1991.0,1,125,155,,539,238,374,738,171,29662.0,2603061.0,700,172,646,690,232,
1982.0,0,115,186,91.0,470,253,180,650,188,372490.0,435110554.0,430,112,40,564,6,0.0
1955.0,0,118,137,72.0,122,279,645,426,117,40313.0,,700,172,646,690,232,
2007.0,3,100,22,82.0,99,457,796,57,442,227760.0,17114882.0,614,89,581,280,142,1.0
1994.0,0,127,83,70.0,495,327,512,750,686,164937.0,5887457.0,554,112,299,517,6,0.0
2014.0,1,113,11,71.0,117,602,202,83,102,600004.0,100206256.0,101,119,605,664,6,0.0
1990.0,0,105,147,74.0,495,327,818,193,52,447368.0,56362352.0,637,112,549,526,6,1.0
2006.0,3,120,137,78.0,474,399,722,717,662,32001.0,412544.0,700,172,646,690,232,
2012.0,4,112,199,,367,330,298,69,63,57549.0,,700,172,646,690,232,
2009.0,3,129,168,80.0,264,500,726,628,128,193217.0,6391436.0,700,172,646,690,232,
1962.0,4,95,142,,296,565,321,219,449,29682.0,,700,172,646,690,232,
1987.0,0,153,26,62.0,470,128,395,579,666,115677.0,22238696.0,646,112,607,623,98,6.0
2015.0,2,116,105,70.0,177,523,64,232,342,47444.0,3358518.0,700,172,646,690,232,
2012.0,4,109,22,68.0,98,276,545,40,29,228132.0,41003371.0,127,152,371,191,149,0.0
2001.0,4,131,157,53.0,216,335,183,413,717,243729.0,51401758.0,289,54,88,387,65,0.0
2012.0,0,134,101,,152,569,1,556,712,33618.0,1670773.0,194,45,484,153,198,0.0
1973.0,4,102,22,83.0,417,92,399,372,7,96561.0,25000000.0,432,42,47,629,16,0.0
